id,player,team_name,x,y,xg,shottype,situation,result,league_name,year
384952,Bertrand Traoré,Aston Villa,0.8169999694824219,0.49900001525878906,0.05181235074996948,LeftFoot,SetPiece,BlockedShot,EPL,2020
387359,Bertrand Traoré,Aston Villa,0.7819999694824219,0.37900001525878907,0.027324622496962547,LeftFoot,OpenPlay,SavedShot,EPL,2020
389839,Bertrand Traoré,Aston Villa,0.7559999847412109,0.3579999923706055,0.020539313554763794,LeftFoot,OpenPlay,SavedShot,EPL,2020
393647,Bertrand Traoré,Aston Villa,0.78,0.40099998474121096,0.015058211982250214,LeftFoot,FromCorner,MissedShots,EPL,2020
393650,Bertrand Traoré,Aston Villa,0.9540000152587891,0.40099998474121096,0.09701129794120789,LeftFoot,OpenPlay,BlockedShot,EPL,2020
393654,Bertrand Traoré,Aston Villa,0.9180000305175782,0.3390000152587891,0.045666176825761795,LeftFoot,FromCorner,SavedShot,EPL,2020
393675,Bertrand Traoré,Aston Villa,0.879000015258789,0.5129999923706055,0.12050262093544006,LeftFoot,OpenPlay,BlockedShot,EPL,2020
394783,Bertrand Traoré,Aston Villa,0.8969999694824219,0.3940000152587891,0.11893253773450851,LeftFoot,OpenPlay,BlockedShot,EPL,2020
394785,Bertrand Traoré,Aston Villa,0.8190000152587891,0.46700000762939453,0.10018765926361084,LeftFoot,OpenPlay,Goal,EPL,2020
394786,Bertrand Traoré,Aston Villa,0.909000015258789,0.6,0.01969553343951702,Head,OpenPlay,SavedShot,EPL,2020
395632,Bertrand Traoré,Aston Villa,0.9230000305175782,0.5020000076293946,0.6354615092277527,RightFoot,OpenPlay,Goal,EPL,2020
395634,Bertrand Traoré,Aston Villa,0.845999984741211,0.5570000076293945,0.09012825042009354,LeftFoot,OpenPlay,MissedShots,EPL,2020
395633,Bertrand Traoré,Aston Villa,0.805,0.34900001525878904,0.03916299343109131,LeftFoot,OpenPlay,ShotOnPost,EPL,2020
395847,Bertrand Traoré,Aston Villa,0.8480000305175781,0.34599998474121096,0.05374246463179588,LeftFoot,OpenPlay,BlockedShot,EPL,2020
396250,Bertrand Traoré,Aston Villa,0.9569999694824218,0.19399999618530273,0.07196168601512909,LeftFoot,DirectFreekick,MissedShots,EPL,2020
396256,Bertrand Traoré,Aston Villa,0.9519999694824218,0.42400001525878905,0.512722373008728,LeftFoot,SetPiece,Goal,EPL,2020
377163,Ross Barkley,Aston Villa,0.6880000305175781,0.47200000762939454,0.017517002299427986,RightFoot,OpenPlay,SavedShot,EPL,2020
381491,Ross Barkley,Aston Villa,0.9180000305175782,0.5379999923706055,0.4877890944480896,LeftFoot,OpenPlay,MissedShots,EPL,2020
381500,Ross Barkley,Aston Villa,0.8859999847412109,0.575999984741211,0.1279340386390686,LeftFoot,OpenPlay,MissedShots,EPL,2020
381502,Ross Barkley,Aston Villa,0.9730000305175781,0.3340000152587891,0.07188593596220016,RightFoot,OpenPlay,SavedShot,EPL,2020
381507,Ross Barkley,Aston Villa,0.7769999694824219,0.69,0.01950671151280403,RightFoot,OpenPlay,MissedShots,EPL,2020
381508,Ross Barkley,Aston Villa,0.8090000152587891,0.6980000305175781,0.03341273218393326,LeftFoot,OpenPlay,Goal,EPL,2020
