player_id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_name,npg,npxG,xGChain,xGBuildup,year,league_name
2197,Pedro León,11,431,1,0.21330086793750525,1,0.38354673609137535,7,6,1,0,F M S,Eibar,1,0.21330086793750525,0.5187572948634624,0.2069387026131153,2020,La liga
5153,Kévin Rodrigues,12,765,1,0.6179431639611721,1,0.33437142241746187,7,8,1,0,D M S,Eibar,1,0.6179431639611721,1.3383316602557898,0.657967590726912,2020,La liga
2112,Papakouly Diop,14,1056,0,0.234373165294528,1,0.6812604647129774,7,6,3,2,M S,Eibar,0,0.234373165294528,1.8365519791841507,1.066114810295403,2020,La liga
2119,Rober Correa,8,659,0,0.027131903916597366,0,0.19135647639632225,1,3,1,0,D,Eibar,0,0.027131903916597366,0.36547115817666054,0.2513248613104224,2020,La liga
2212,Sergio Álvarez,16,948,0,0.20521409437060356,0,0.321305463090539,4,4,3,0,D M S,Eibar,0,0.20521409437060356,1.8507914366200566,1.4833499724045396,2020,La liga
2337,Recio,8,215,0,0.13171129301190376,0,0.057479117065668106,3,1,2,0,M S,Eibar,0,0.13171129301190376,0.2522504311054945,0.1181412860751152,2020,La liga
2353,Pedro Bigas,14,1095,0,0.14320706482976675,0,0.020673958584666252,4,1,1,0,D S,Eibar,0,0.14320706482976675,0.46415791008621454,0.3465668819844723,2020,La liga
2519,Tejero,2,107,0,0.03139110282063484,0,0.11526313424110413,2,3,1,0,D S,Eibar,0,0.03139110282063484,0.1688057780265808,0.040819473564624786,2020,La liga
2586,Anaitz Arbilla,15,1106,0,0.34024372696876526,1,0.5798704531043768,11,4,4,0,D S,Eibar,0,0.34024372696876526,2.1531514190137386,1.8443171605467796,2020,La liga
4188,Quique González,6,74,0,0.04688253253698349,0,0,2,0,0,0,S,Eibar,0,0.04688253253698349,0.06893516145646572,0.05751482956111431,2020,La liga
5081,Edu Expósito,17,1319,0,2.0618402529507875,1,1.7710768338292837,22,23,3,0,M S,Eibar,0,0.5752850230783224,3.612879730761051,1.8812833596020937,2020,La liga
5138,Alejandro Pozo,13,1030,0,0.06933027505874634,0,0.29375738091766834,4,6,0,0,D M S,Eibar,0,0.06933027505874634,1.203276688233018,0.8849215302616358,2020,La liga
6224,Marko Dmitrovic,18,1620,0,0.07246730476617813,0,0.3012704309076071,1,4,0,0,GK,Eibar,0,0.07246730476617813,0.4327931273728609,0.13152270391583443,2020,La liga
6225,Paulo Oliveira,12,1003,0,0.10082192346453667,1,0.7625576034188271,3,2,0,0,D S,Eibar,0,0.10082192346453667,0.38123426493257284,0.38123426493257284,2020,La liga
8209,Miguel Ángel Atienza,2,108,0,0.0434049591422081,0,0,1,0,1,0,M S,Eibar,0,0.0434049591422081,0.0434049591422081,0,2020,La liga
8210,Sergio Cubero,1,1,0,0,0,0,0,0,0,0,S,Eibar,0,0,0,0,2020,La liga
8390,Rafa Soares,7,442,0,0.08241627551615238,0,0.08631012309342623,2,3,0,0,D S,Eibar,0,0.08241627551615238,0.27898213267326355,0.16128580644726753,2020,La liga
8707,Damian Kadzior,6,193,0,0.16914722695946693,0,0.010828429833054543,5,1,0,0,F M S,Eibar,0,0.16914722695946693,0.13462849147617817,0.0434049591422081,2020,La liga
8708,Unai Arietaleanizbeaskoa,3,31,0,0,0,0,0,0,1,0,S,Eibar,0,0,0,0,2020,La liga
8709,Eñaut Mendía,1,64,0,0.011050530709326267,0,0,1,0,1,0,M,Eibar,0,0.011050530709326267,0,0,2020,La liga
5093,Roberto Torres,16,994,4,2.3841171134263277,0,0.9326511789113283,24,7,0,0,M S,Osasuna,3,1.6408395040780306,3.379277255386114,2.110069092363119,2020,La liga
2183,Rubén García,18,1505,3,1.5856642397120595,3,3.0374300684779882,18,26,2,0,F M,Osasuna,2,0.8423866117373109,4.155297365039587,2.346059652045369,2020,La liga
1235,Ante Budimir,12,598,2,2.5227339593693614,0,0.5662485212087631,17,5,2,0,F S,Osasuna,2,2.5227339593693614,2.948052704334259,0.23415449634194374,2020,La liga
1672,Jonathan Calleri,12,736,2,2.292657047510147,1,0.37947958149015903,22,6,2,0,F S,Osasuna,2,2.292657047510147,3.431085653603077,1.3426825925707817,2020,La liga
1884,Facundo Roncaglia,13,955,1,0.3016713708639145,1,0.5239887936040759,12,4,1,0,D S,Osasuna,1,0.3016713708639145,2.508606728166342,1.7316684424877167,2020,La liga
2305,Adrián,9,323,1,1.0119993165135384,1,0.04917874559760094,5,2,0,0,F S,Osasuna,1,1.0119993165135384,1.303729347884655,0.33259813115000725,2020,La liga
